0.003 	0.426 	0.201 
0.004 	0.444 	0.190 
0.005 	0.463 	0.179 
0.007 	0.483 	0.169 
0.009 	0.503 	0.158 
0.012 	0.524 	0.148 
0.016 	0.545 	0.138 
0.019 	0.566 	0.129 
0.024 	0.587 	0.120 
0.029 	0.608 	0.112 
0.035 	0.629 	0.104 
0.041 	0.650 	0.097 
0.048 	0.671 	0.090 
0.055 	0.691 	0.084 
0.063 	0.710 	0.078 
0.072 	0.728 	0.073 
0.080 	0.745 	0.069 
0.090 	0.762 	0.065 
0.099 	0.778 	0.061 
0.110 	0.793 	0.057 
0.120 	0.808 	0.054 
0.131 	0.822 	0.051 
0.142 	0.836 	0.048 
0.154 	0.849 	0.045 
0.166 	0.862 	0.042 
0.177 	0.874 	0.040 
0.189 	0.885 	0.037 
0.201 	0.895 	0.034 
0.213 	0.905 	0.032 
0.226 	0.915 	0.030 
0.238 	0.924 	0.028 
0.251 	0.932 	0.026 
0.264 	0.940 	0.024 
0.277 	0.947 	0.022 
0.290 	0.954 	0.020 
0.304 	0.960 	0.019 
0.318 	0.966 	0.017 
0.331 	0.971 	0.016 
0.345 	0.976 	0.015 
0.360 	0.980 	0.013 
0.374 	0.984 	0.012 
0.389 	0.987 	0.011 
0.403 	0.990 	0.010 
0.418 	0.993 	0.010 
0.433 	0.995 	0.009 
0.449 	0.997 	0.008 
0.464 	0.998 	0.007 
0.480 	0.999 	0.007 
0.496 	1.000 	0.006 
0.512 	1.000 	0.006 
0.528 	1.000 	0.005 
0.545 	0.999 	0.005 
0.561 	0.998 	0.005 
0.578 	0.997 	0.004 
0.595 	0.995 	0.004 
0.611 	0.993 	0.004 
0.628 	0.990 	0.003 
0.645 	0.986 	0.003 
0.662 	0.983 	0.003 
0.678 	0.979 	0.003 
0.695 	0.974 	0.003 
0.712 	0.969 	0.002 
0.729 	0.964 	0.002 
0.746 	0.958 	0.002 
0.762 	0.952 	0.002 
0.779 	0.945 	0.002 
0.795 	0.938 	0.002 
0.811 	0.931 	0.002 
0.827 	0.923 	0.002 
0.843 	0.915 	0.002 
0.858 	0.907 	0.002 
0.873 	0.898 	0.002 
0.888 	0.889 	0.002 
0.902 	0.880 	0.002 
0.916 	0.870 	0.002 
0.930 	0.860 	0.002 
0.943 	0.849 	0.002 
0.955 	0.839 	0.002 
0.967 	0.828 	0.001 
0.979 	0.816 	0.001 
0.989 	0.805 	0.001 
1.000 	0.793 	0.001 
1.009 	0.781 	0.001 
1.018 	0.769 	0.001 
1.026 	0.757 	0.001 
1.034 	0.745 	0.001 
1.041 	0.732 	0.001 
1.047 	0.720 	0.001 
1.052 	0.707 	0.001 
1.057 	0.695 	0.001 
1.060 	0.682 	0.001 
1.062 	0.669 	0.001 
1.063 	0.657 	0.001 
1.063 	0.644 	0.001 
1.062 	0.631 	0.001 
1.061 	0.618 	0.001 
1.058 	0.605 	0.001 
1.055 	0.592 	0.001 
1.051 	0.580 	0.001 
1.046 	0.567 	0.001 
1.039 	0.554 	0.001 
1.031 	0.541 	0.000 
1.023 	0.528 	0.000 
1.013 	0.516 	0.000 
1.003 	0.503 	0.000 
0.991 	0.490 	0.000 
0.979 	0.478 	0.000 
0.966 	0.466 	0.000 
0.953 	0.453 	0.000 
0.938 	0.441 	0.000 
0.923 	0.429 	0.000 
0.907 	0.417 	0.000 
0.891 	0.405 	0.000 
0.873 	0.393 	0.000 
0.854 	0.381 	0.000 
0.835 	0.369 	0.000 
0.815 	0.357 	0.000 
0.794 	0.345 	0.000 
0.773 	0.333 	0.000 
0.751 	0.321 	0.000 
0.730 	0.309 	0.000 
0.708 	0.298 	0.000 
0.686 	0.287 	0.000 
0.664 	0.276 	0.000 
0.642 	0.265 	0.000 
0.622 	0.255 	0.000 
0.601 	0.245 	0.000 
0.581 	0.235 	0.000 
